,0
课程,11
实践教学,10
人才培养,10
人才培养模式,10
计算思维,9
教学改革,9
教学方法,9
通识教育,9
教材,9
卓越工程师,8
课程体系,8
"
",7
"教学改革
",7
教学质量,6
教学,6
"人才培养
",6
"创新
",6
"人才培养模式
",6
创新人才培养,5
"实践教学
",5
"实践
",5
大学计算机基础,5
高校,5
"教学方法
",5
能力培养,5
高等教育,5
"创新能力
",5
精品课程,4
研究型教学,4
工程教育,4
课程设置,4
创新,4
特色专业,4
物理化学,4
"计算思维
",4
课程建设,4
创新人才,4
课堂教学,4
"教学
",4
教学模式,4
高等工程教育,3
创新教育,3
课程改革,3
创新能力,3
改革,3
卓越工程师教育培养计划,3
研究性教学,3
"教学模式
",3
大学,3
教学体系,3
"启示
",3
素质教育,3
"培养模式
",3
培养模式,3
实践,3
视频公开课,3
"培养
",3
专业建设,3
创新型人才,3
本科生,3
实践能力,3
应用型本科,3
古代文学,2
"教材建设
",2
教材建设,2
"双师型
",2
国际化,2
创业教育,2
"因材施教
",2
美国,2
语言学概论,2
"教学效果
",2
教师,2
计算机基础教学,2
"教育改革
",2
教学方法改革,2
数学,2
"能力培养
",2
自动化,2
教学设计,2
"英语教学
",2
"创新人才
",2
"教学观
",2
精品教材,2
"创新人才培养
",2
计算机基础课程,2
教育理念,2
"教学质量
",2
本科教学,2
地方高校,2
法学,2
方法论,2
混合式学习,2
无机化学,2
"思考
",2
实践育人,2
本土化,2
法学教育国际化,2
毕业设计,2
培养体系,2
模式,2
工科院校,2
案例教学法,2
师资队伍,2
平台,2
应用型人才,2
"机制
",2
定位,2
文艺学,2
"课堂教学
",2
文理交融,2
科学研究,2
"建设
",2
教学团队,2
"研究型大学
",2
多样化,2
教学内容,2
"改革
",2
大学教学,2
知识融合,2
知识体系,2
大学英语,2
电子商务,2
大学计算机,2
学生评教,2
特色专业建设,2
"特色
",2
教师教育,2
"体系构建
",2
"NSSE
",2
高校教师发展,2
信息技术,2
跨学科,2
人文精神,2
课程资源,2
课程内容,2
"课程体系
",2
"课程
",2
"使用
",2
转型,2
